  skipping invalid sequence (chars=['N'])
Batch 16/466: RSS 126.6 -> 126.6 MB after gc (baseline 125.7 MB, +1.0 MB)
Batch 17/466: RSS 126.6 -> 126.6 MB after gc (baseline 125.7 MB, +1.0 MB)
Batch 18/466: RSS 126.6 -> 126.6 MB after gc (baseline 125.7 MB, +1.0 MB)
Batch 19/466: RSS 126.6 -> 126.6 MB after gc (baseline 125.7 MB, +1.0 MB)
Batch 20/466: RSS 126.6 -> 126.6 MB after gc (baseline 125.7 MB, +1.0 MB)
Batch 21/466: RSS 126.6 -> 126.6 MB after gc (baseline 125.7 MB, +1.0 MB)
Batch 22/466: RSS 126.6 -> 126.6 MB after gc (baseline 125.7 MB, +1.0 MB)
Batch 23/466: RSS 126.6 -> 126.6 MB after gc (baseline 125.7 MB, +1.0 MB)
Batch 24/466: RSS 126.6 -> 126.6 MB after gc (baseline 125.7 MB, +1.0 MB)
Batch 25/466: RSS 126.6 -> 126.6 MB after gc (baseline 125.7 MB, +1.0 MB)
Batch 26/466: RSS 126.6 -> 126.6 MB after gc (baseline 125.7 MB, +1.0 MB)
Batch 27/466: RSS 126.6 -> 126.6 MB after gc (baseline 125.7 MB, +1.0 MB)
Batch 28/466: RSS 126.6 -> 126.6 MB after gc (baseline 125.7 MB, +1.0 MB)
Batch 29/466: RSS 126.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.0 MB)
Batch 30/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.0 MB)
Batch 31/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.0 MB)
Batch 32/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.0 MB)
Batch 33/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.0 MB)
Batch 34/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.0 MB)
Batch 35/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.0 MB)
Batch 36/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.0 MB)
Batch 37/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.0 MB)
Batch 38/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.0 MB)
Batch 39/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.0 MB)
Batch 40/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.0 MB)
Batch 41/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.0 MB)
Batch 42/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.0 MB)
Batch 43/466: RSS 123.6 -> 123.6 MB after gc (baseline 125.7 MB, +-2.0 MB)
Batch 44/466: RSS 123.6 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 45/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 46/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 47/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 48/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 49/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 50/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 51/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 52/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 53/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 54/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 55/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 56/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 57/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 58/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 59/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 60/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 61/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 62/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 63/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 64/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 65/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 66/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 67/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 68/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 69/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 70/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 71/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 72/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 73/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 74/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 75/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 76/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 77/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 78/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 79/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 80/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
Batch 81/466: RSS 123.5 -> 123.5 MB after gc (baseline 125.7 MB, +-2.2 MB)
