Batch 64/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 65/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 66/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 67/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 68/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 69/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 70/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 71/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 72/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 73/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 74/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 75/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 76/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 77/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 78/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 79/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 80/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 81/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 82/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
